Motif	Factor	Evidence	Curated
GM.5.0.bHLH.0003	scap	Orthologs	N
GM.5.0.bHLH.0003	zgc_110063	Orthologs	N
GM.5.0.bHLH.0003	zgc_110063	Orthologs	N
GM.5.0.bHLH.0003	srebf1	Orthologs	N
GM.5.0.bHLH.0003	srebf2	Orthologs	N
GM.5.0.bHLH.0003	srebf1	Orthologs	N
GM.5.0.bHLH.0003	srebf2	Orthologs	N
GM.5.0.HSF.0001	gtf3c2	Orthologs	N
GM.5.0.HSF.0001	gtf3c2	Orthologs	N
GM.5.0.HSF.0001	hsf1	Orthologs	N
GM.5.0.HSF.0001	hsf1	Orthologs	N
GM.5.0.HSF.0001	polr3a	Orthologs	N
GM.5.0.HSF.0001	polr3a	Orthologs	N
GM.5.0.HSF.0001	hsf4	Orthologs	N
GM.5.0.HSF.0001	hsf4	Orthologs	N
GM.5.0.HSF.0001	polr3glb	Orthologs	N
GM.5.0.HSF.0001	polr3gla	Orthologs	N
GM.5.0.HSF.0001	polr3g	Orthologs	N
GM.5.0.HSF.0001	polr3glb	Orthologs	N
GM.5.0.HSF.0001	polr3gla	Orthologs	N
GM.5.0.HSF.0001	polr3g	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb6b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb6a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc6b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb6b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb6a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc6b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb8a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb8b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc8a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb8a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb8b	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc8a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxa4a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxb9a	Orthologs	N
GM.5.0.Homeodomain.0003	hoxc9a	Orthologs	N
