"","cluster","ref1","ref2","ref3","manual_anno","cl_numb","broader","numbered","numbered_mk","topmk","broader_col","clcol"
"3","25","25_Micro.Neuro","25","25_GABAn","25_Neuro",25,"Neuro","25_Neuro","25_Neuro_tcf7l2.adarb1a","tcf7l2/adarb2/nrp1a/znf385a/adarb1a/cachd1/clcn2a/b3glcta/robo2.1/atp1b1b","#ff8f00","#E9C100"
"38","26","26_OPCs","26_OPCs","26_OPC","26_OPC",26,"OPC","26_OPC","26_OPC_zcchc24/cspg4/dnm3a","zcchc24/cspg4/dnm3a/ENSDARG00000091428/rasgrp4/si:ch211-234p6.5/cdk6/arhgap31/etv4/aplnra","#8F00FF","#8F00FF"
"16","27","27_Endot.Epend","27","27_GABAn","27_Neuro",27,"Neuro","27_Neuro","27_Neuro_itm2cb.fosb.tent5d","itm2cb/fosb/tent5d/CSDC2/nocta/fosaa/sat1a.2/fosab/mfsd2ab/egr4","#ff8f00","#B79400"
"18","28","28_Neuro.Neuro","28","28_UnD","28_Neuro",28,"Neuro","28_Neuro","28_Neuro_meis1b.ebf3a.1.gabrz","meis1b/ebf3a.1/gabrz/osbpl10b/rasal2/grm2a/gabra4/CR388373.3/abtb2b/zmat4b","#ff8f00","#F2F000"
"31","29","29_Neuro.Neuro","29_Inter","29_GABAn","29_Neuro",29,"Neuro","29_Neuro","29_Neuro_lhx6.nxph1.npffr1l2","lhx6/nxph1/adarb2/zeb2b/bcl11ba/sdk1b/npffr1l2/necab1/BX470189.2/znf536","#ff8f00","#FFDC00"
"21","30","30_Neuro.Neuro","30_Inter.NS","30_GABAn","30_Neuro",30,"Neuro","30_Neuro","30_Neuro_ERBB4.kcnab1a","satb1b/lhx6/ERBB4/fign/grip2b/erbb4a/BX569787.1/cdh23/kcnab1a/cdh23.1","#ff8f00","#976200"
"48","31","31_Neuro.Neuro","31_GABAe","31_GABAn","31_Neuro",31,"Neuro","31_Neuro","31_Neuro_pou6f2.htr2aa","pou6f2/vax2/gfra1a/htr2aa/gfra1b/cdh23.1/cdh23/BX571707.1/sorcs3b/lrp1ba.1","#ff8f00","#FFB500"
"35","32","32_Neuro.Neuro","32_Astro.Bergm","32_CSC","32_Glial",32,"Glial","32_Glial","32_Glial_hepacama.gpc5b.acsl2","hepacama/chl1a/pdgfrb/mmd2a/yap1/CABZ01049847.1/pard6gb/gpc5b/acsl2/slc6a11b","#1F78B4","#7066C3"
"33","33","33_Epend.Micro","33_GABAe.Inter","33_GABAn","33_Neuro",33,"Neuro","33_Neuro","33_Neuro_onecut3b.nrip2","onecut3b/bcl11ba/onecut1/pmfbp1/si:ch73-315f9.2/npr2/CU467042.1/vax1/plppr5b/nrip2","#ff8f00","#CC8A00"
"40","34","34_Lymph.Neuro","34_GABAe.IN","34_GABAn","34_Neuro",34,"Neuro","34_Neuro","34_Neuro_cdh23.pax6a.bnc2","cdh23/pou6f2/cdh23.1/pax6a/pax6b/esrrga/CR377229.1/bnc2/gfra1b/prss12","#ff8f00","#FFC68A"
"8","36","36_Endot.Epend","36","36_GABAn","36_Neuro",36,"Neuro","36_Neuro","36_Neuro_rnf220a.BX571707.meis2a","rnf220a/BX571707.1/meis2a.1/vax2/mpped2a/hs6st3b/foxp4/rxfp1/rxfp2l/sox5","#ff8f00","#B14E00"
